name,cost,ac,meleeAc,soak.value,soak.max,encumbrance,traumaDiePenalty,isSubtle,isHeavy,shieldMeleeACBonus,shieldACBonus,description
RiotShield,1000,0,0,0,0,2,0,False,False,2,4,"These bulky, transparent shields are most effective in fending off melee attackers. They must be Readied in one hand; users with multi- ple cyberarms can benefit from only one shield at a time. A shield negates the first melee Shock damage a bearer takes in a round."
Ordinary Clothing,25,10,10,0,0,0,0,True,False,0,0,"Some bold, impoverished, or highly fashionable people still insist on wearing clothing that has no functional use as armor."
Reinforced Clothing,100,13,10,2,2,0,0,True,False,0,0,"Subtle polymer sheets and reinforced weaves are used to provide a modicum of protection in this clothing without sacrificing taste."
War Harness,200,13,14,5,5,1,0,False,False,0,0,"An upgraded form of street leathers, these outfits have sacrificed all discretion for whatever spare ballistic plates and advanced polymer weaves its owner can sew or bolt on. It's usually the best armor that local gangs or common thugs can afford."
Street Leathers,250,13,12,3,3,0,0,True,False,0,0,"Fashionable, aggressive, and often mismatched, 'street leathers' seldom have any non-synthetic leather in their makeup, but are light and comfortable enough to wear as a habit."
Reinforced Longcoat,500,15,13,5,5,1,1,True,False,0,0,"Long, draping clothing is bolstered with advanced fabrics and discreetly- placed absorption plates, the whole remaining deniable as armor."
Armored Clothing,1000,16,14,5,5,2,1,True,False,0,0,The bulky plates and heavy ballistic weaves of this outfit are disguised as drapes and fashion elements.
Plated Longcoat,2000,17,15,5,5,3,1,False,True,0,0,"An ankle-length coat, robe, or mantle is used as a substrate for numerous reinforced plates and swaths of ballistic weave. It's heavy, bulky, and blatant, but it can absorb a lot of punishment."
Impact Jacket,1000,12,14,8,8,1,1,False,False,0,0,"Built to absorb the impact of various contact sports, extreme athletic pursuits, and unguided vehicle races, these jackets usually come as part of a full-body protective outfit."
Light Armored Suit,5000,16,13,5,5,2,2,False,False,0,0,"Ordinary law enforcement and security guards will be wearing suits like this, usually brightly emblazoned with their corporate affiliation."
Medium Armored Suit,10000,18,14,10,10,3,2,False,False,0,0,"Heavy security usually sports armor on this level, including police rapid response teams."
Heavy Armored Suit,20000,20,18,15,15,3,3,False,True,0,0,"A head-to-toe suit of interlocking plates and impact absorption units, these suits are reserved for high-end response teams and military operations."
Riot Shield,1000,0,0,0,0,2,0,False,False,2,4,"These bulky, transparent shields are most effective in fending off melee attackers. They must be Readied in one hand; users with multiple cyberarms can benefit from only one shield at a time. A shield negates the first melee Shock damage a bearer takes in a round."
Absorption Plates,500,0,0,3,3,1,0,False,True,2,2,"Additional impact-absorbing buffer plates are added to the armor. Their bulk inflicts a -1 penalty to the user's Sneak and Exert checks."
Joint Reinforcement,250,0,0,0,0,0,0,True,True,1,1,"The weak points around limb joints are reinforced with extra layers of weave. The extra weave hinders movement, and applies a -1 penalty to the wearer's Sneak and Exert checks."
